index;x;y;z
165;0.033768;-0.905396;-0.430740
166;-0.408752;-0.499313;0.080872
167;-0.240784;-0.583817;0.281403
168;-0.541000;-0.780884;-0.343994
169;-0.101669;-1.276230;-0.217773
170;-0.056061;-1.182297;-0.052597
171;-0.335068;-1.524307;-0.108521
172;-0.636154;-1.277145;0.188797
173;-1.176849;-1.360626;0.241989
174;-1.072876;-1.228363;0.037872
175;-0.413391;-0.756317;-0.011429
176;-0.138550;-0.565262;0.176224
177;-0.089935;0.103043;0.120010
178;-0.201874;-0.019547;-0.000809
179;-0.382751;-0.385086;-0.752396
180;-1.511215;-1.585159;-1.467667
181;-0.020920;-0.151703;-0.986740
182;-2.341019;-1.047653;-0.031754
183;-0.263367;-0.018799;-0.315582
184;-0.607178;-0.846405;0.177856
185;-0.383041;-1.583145;-0.043106
186;-0.273026;-0.633224;-0.253006
187;-0.489029;-0.583817;-0.054016
188;-0.158752;-0.607819;0.377884
189;-0.590790;-0.679855;-0.255173
190;-0.087189;-1.263748;-0.218292
191;0.161133;-1.234787;0.024338
192;-0.550644;-1.590790;0.073608
193;-0.545502;-1.314240;0.361206
194;-1.221390;-1.209061;0.316711
195;-0.943466;-1.336441;0.059326
196;-0.386261;-0.800308;-0.072556
197;-0.181702;-0.712326;0.174744
198;-0.157303;0.064087;0.157669
199;-0.194427;0.046982;0.031708
200;-0.401505;-0.279373;-0.671509
201;-1.357895;-1.213165;-1.583847
202;0.010986;-0.445618;-1.093613
203;-1.620605;-1.350815;0.537201
204;-0.176590;0.402924;-0.138977
205;-0.758591;-0.719543;0.523239
206;-0.561508;-1.617050;0.104492
207;-0.135559;-0.728806;-0.209259
208;-0.392731;-0.574524;-0.205231
209;-0.189316;-0.701508;0.200027
210;-0.476898;-0.784256;-0.287079
211;-0.378189;-1.091690;-0.116425
212;0.082840;-1.276474;0.050888
213;-0.627136;-1.322739;-0.295990
214;-0.303040;-1.415222;0.305679
215;-1.029861;-1.040497;0.481125
216;-1.138611;-1.350586;0.138992
217;-0.498840;-0.782349;-0.114563
218;-0.196274;-0.872513;0.109299
219;-0.100601;-0.241867;0.078415
220;-0.310791;0.088531;0.021179
221;-0.240097;-0.247131;-0.295914
222;-0.672958;-0.990173;-1.733612
223;-0.650696;-0.993912;-1.202927
224;-0.680801;-0.681351;-0.111160
225;-0.566177;-0.854691;0.368713
226;-0.619492;-0.533340;0.746048
227;-0.557266;-1.206467;0.264206
228;-0.083649;-1.034164;-0.327103
229;-0.380783;-0.590195;-0.053970
230;-0.355896;-0.661774;0.025131
231;-0.325500;-0.690720;-0.197998
232;-0.463837;-1.150864;-0.107651
233;-0.111679;-1.154663;-0.177322
234;-0.278107;-1.399292;-0.216827
235;-0.365784;-1.282028;0.168137
236;-0.904678;-1.150940;0.319183
237;-1.309402;-1.335556;-0.031525
238;-0.621658;-0.956161;-0.175583
239;-0.323563;-0.997101;0.111649
240;-0.050995;-0.348068;0.157944
241;-0.182068;0.200851;0.078522
242;-0.187195;-0.198914;-0.189819
243;-0.521362;-0.877472;-1.689423
244;-0.951080;-1.092422;-1.063217
245;-0.964752;-0.632736;-0.329285
246;-0.077789;-0.353012;0.731888
247;-0.797958;-0.712860;0.710403
248;-0.538925;-1.119537;0.236267
249;-0.138885;-0.938629;-0.240005
250;-0.370255;-0.581802;-0.134949
251;-0.274368;-0.707748;0.122360
252;-0.266754;-0.659927;-0.262726
253;-0.478546;-1.134369;-0.152603
254;-0.127411;-1.134232;-0.085419
255;-0.412933;-1.364731;-0.324982
256;-0.290787;-1.552094;0.254913
257;-1.193375;-0.834946;0.383514
258;-1.253387;-1.555954;0.055664
259;-0.314087;-0.976852;-0.082947
260;-0.335587;-0.863892;0.083237
261;-0.203049;-0.079086;0.167694
262;-0.261673;0.050934;0.123093
263;-0.151001;-0.074966;-0.283737
264;-0.486862;-1.037964;-1.620087
265;-1.038712;-0.968521;-1.227264
266;-0.728317;-0.546127;-0.770813
267;-0.630569;-1.046677;0.453003
268;-0.587570;-0.515076;0.746475
269;-0.674194;-1.224762;0.156296
270;-0.369949;-1.163651;-0.272018
271;-0.179810;-0.644791;-0.130524
272;-0.406128;-0.710037;-0.196579
273;-0.145905;-0.651321;0.384842
274;-0.677277;-0.760071;-0.233124
275;-0.128708;-1.221802;-0.326096
276;0.014282;-1.336945;0.053452
277;-0.470398;-1.613785;0.157776
278;-0.605652;-1.056503;0.129868
279;-1.157822;-1.067383;0.329803
280;-0.916962;-1.229172;0.046951
281;-0.260162;-0.920181;0.094803
282;-0.271240;-0.707443;0.093903
283;-0.163773;0.012665;0.011505
284;-0.294800;-0.017075;-0.041779
285;-0.299194;-0.325592;-0.752853
286;-1.271484;-1.064011;-1.380554
287;-0.176193;-0.573700;-0.995361
288;-1.733673;-1.525772;0.278076
289;-0.355515;0.203278;-0.507095
290;-0.636322;-0.688797;0.398514
291;-0.582428;-1.616867;-0.191162
292;-0.153671;-0.796722;-0.054443
293;-0.433014;-0.560593;-0.170883
294;-0.148834;-0.749771;0.286667
295;-0.591263;-0.728760;-0.268219
296;-0.421799;-1.125443;-0.260269
297;0.201065;-1.379761;0.094635
298;-0.725098;-1.445633;-0.031189
299;-0.524063;-1.135071;0.243073
300;-1.105301;-1.211487;0.389984
